image_name,zero_shot_specificity,zero_shot_plausibility,zero_shot_grounding,cot_specificity,cot_plausibility,cot_grounding,few_shot_specificity,few_shot_plausibility,few_shot_grounding,attention_grounded_specificity,attention_grounded_plausibility,attention_grounded_grounding
0a33f56fefae4346d34d.jpg,3,4,2,4,5,5,3,4,2,4,5,3
519265ddccececa7d2ea.jpg,3,4,2,4,5,3,2,4,3,4,5,4
8a6c822693b001aa3f6e.jpg,3,4,2,4,5,4,2,3,1,4,5,4
f88041a5c8ab57e9d0b9.jpg,3,4,3,4,5,5,4,5,5,4,5,5
35413037a9b2b48bc381.jpg,3,4,2,3,4,2,3,4,2,4,5,3
b93d55ec4513b24b5788.jpg,3,4,2,2,4,2,2,4,3,4,5,4
a220a478799ecb886b96.jpg,3,4,2,4,5,5,2,4,1,4,5,5
aabd21d1cc22d53a8535.jpg,3,4,2,4,5,3,3,4,4,4,5,4
0518c39897ffcd0c53c5.jpg,4,5,4,4,5,3,3,4,3,4,5,4
9347d537ff8d7d436d40.jpg,3,4,2,3,4,2,3,4,3,4,5,5
130a2bc6429f21fd90ae.jpg,4,5,3,4,5,4,3,4,2,4,5,4
c157750fef797596f3be.jpg,4,5,3,4,5,3,4,5,4,4,5,4
192ebb1de6d8ba197d19.jpg,4,5,4,4,5,4,4,5,3,4,5,4
23c9bbef28328eabd239.jpg,3,4,2,4,5,4,3,4,2,4,5,4
9a702bc8a590526b7d5b.jpg,3,4,2,3,4,2,4,5,4,4,5,5
8de4d3be161fce6b0aa4.jpg,3,4,3,4,5,3,4,5,3,4,5,4
264ac67025be134a6c1a.jpg,3,4,2,4,5,4,4,4,2,4,5,5
bae8c9579831909a3e97.jpg,4,5,3,4,5,3,2,1,1,4,5,4
007b01d4ab114f50ed23.jpg,4,5,4,4,5,4,2,3,1,4,5,4
42ca1a6b1fefdf05cfa9.jpg,3,4,2,4,5,4,4,5,4,4,5,5
e3cd040c0124c883f046.jpg,4,5,4,4,5,4,3,2,3,4,5,4
9e938e2f70ae5279e734.jpg,3,4,2,4,5,4,3,4,2,4,5,4
a094091f4e38bdf8cc54.jpg,3,4,2,3,4,2,4,5,3,4,5,4
b9741c7b611b438d469f.jpg,4,5,4,4,5,3,3,4,3,4,5,4
2b71a3ca0c83bf3aff75.jpg,3,4,3,3,4,2,2,1,1,3,4,3
865912e5153e4f99bf73.jpg,3,4,2,4,5,4,2,4,1,4,5,4
2c6762aa5d931e230296.jpg,3,4,2,3,4,3,2,4,3,4,4,4
5d48d297bf350fe7256c.jpg,4,5,3,3,4,2,3,4,2,4,5,5
4609ff4972998afc4b45.jpg,3,4,2,3,4,2,3,4,3,4,5,4
8f024015dd39d8bde482.jpg,4,5,3,4,5,3,4,5,3,4,5,4
b4adc04a59c47894591a.jpg,3,4,2,4,5,3,4,5,3,4,5,4
7f3f8e08eef4873c2e80.jpg,4,5,3,4,5,3,4,5,4,4,5,3
67cd760b137df15307f9.jpg,4,5,4,3,4,2,4,5,4,4,5,5
07365e5de8e09416f80c.jpg,3,4,2,4,5,4,3,4,2,4,5,4
95fb6d38b496d989ea91.jpg,3,4,2,4,5,4,2,3,1,4,5,5
b1c6fa94e98cb5bb8cab.jpg,4,5,4,4,5,4,2,4,1,4,5,4
