image_name,label,split,shard_name,rel_path
ae21daa66c731232268d.jpg,0,train,shard_0,shard_0/images/ae21daa66c731232268d.jpg
167b9cb3a7722c858b3c.jpg,1,train,shard_0,shard_0/images/167b9cb3a7722c858b3c.jpg
ae4b2b3e81826b1674c7.jpg,0,train,shard_0,shard_0/images/ae4b2b3e81826b1674c7.jpg
345d69d181989be74695.jpg,1,train,shard_0,shard_0/images/345d69d181989be74695.jpg
fb2ae30e2fb827a21756.jpg,1,train,shard_0,shard_0/images/fb2ae30e2fb827a21756.jpg
7ac145692a0b694d4120.jpg,0,train,shard_0,shard_0/images/7ac145692a0b694d4120.jpg
fda2f5e6a379f2cedf7f.jpg,0,train,shard_0,shard_0/images/fda2f5e6a379f2cedf7f.jpg
39ad8f9a61ebe5f6d3c0.jpg,1,train,shard_0,shard_0/images/39ad8f9a61ebe5f6d3c0.jpg
ed1c77aefe43d978e948.jpg,0,train,shard_0,shard_0/images/ed1c77aefe43d978e948.jpg
ccfbe7b9506d1b4980ab.jpg,0,train,shard_0,shard_0/images/ccfbe7b9506d1b4980ab.jpg
abb4f3bfb0ae1e482aa3.jpg,1,train,shard_0,shard_0/images/abb4f3bfb0ae1e482aa3.jpg
8bea2cdee39f743d9b05.jpg,0,train,shard_0,shard_0/images/8bea2cdee39f743d9b05.jpg
9d94f43c07283e599a9c.jpg,0,train,shard_0,shard_0/images/9d94f43c07283e599a9c.jpg
0d08c55c3e105c69b77c.jpg,1,train,shard_0,shard_0/images/0d08c55c3e105c69b77c.jpg
2311110587971a1e008c.jpg,0,train,shard_0,shard_0/images/2311110587971a1e008c.jpg
0824811aba0d3ca2d191.jpg,1,train,shard_0,shard_0/images/0824811aba0d3ca2d191.jpg
b6cb392d73c3649004b6.jpg,1,train,shard_0,shard_0/images/b6cb392d73c3649004b6.jpg
a68df0bf21b213e3a08a.jpg,1,train,shard_0,shard_0/images/a68df0bf21b213e3a08a.jpg
219e7ffb4bedb4fadf9a.jpg,0,train,shard_0,shard_0/images/219e7ffb4bedb4fadf9a.jpg
